label_bias,words,label_opinion,group_id,text
Biased,unholy,Expresses writer’s opinion,29,Coronavirus vaccine and quarantine protesters in America form an unholy COVID-19 alliance.
Non-biased,unholy,Somewhat factual but also opinionated,29,Coronavirus vaccine and quarantine protesters in America form an unholy COVID-19 alliance.
Biased,unholy,Expresses writer’s opinion,29,Coronavirus vaccine and quarantine protesters in America form an unholy COVID-19 alliance.
Biased,unholy ,Somewhat factual but also opinionated,29,Coronavirus vaccine and quarantine protesters in America form an unholy COVID-19 alliance.
Biased,unholy,Expresses writer’s opinion,29,Coronavirus vaccine and quarantine protesters in America form an unholy COVID-19 alliance.
Biased,unholy ,Expresses writer’s opinion,29,Coronavirus vaccine and quarantine protesters in America form an unholy COVID-19 alliance.
Non-biased,,Entirely factual,84,U.S. President Donald Trump landed in London on Monday for a NATO summit. Queen Elizabeth will host the NATO leaders at Buckingham Palace on Tuesday.
Non-biased,,Entirely factual,84,U.S. President Donald Trump landed in London on Monday for a NATO summit. Queen Elizabeth will host the NATO leaders at Buckingham Palace on Tuesday.
Biased,Donald,,,
Non-biased,NATO,Entirely factual,84,U.S. President Donald Trump landed in London on Monday for a NATO summit. Queen Elizabeth will host the NATO leaders at Buckingham Palace on Tuesday.
Non-biased,,Entirely factual,84,U.S. President Donald Trump landed in London on Monday for a NATO summit. Queen Elizabeth will host the NATO leaders at Buckingham Palace on Tuesday.
Non-biased,,Entirely factual,84,U.S. President Donald Trump landed in London on Monday for a NATO summit. Queen Elizabeth will host the NATO leaders at Buckingham Palace on Tuesday.
Non-biased,landed,,,
Non-biased,,Entirely factual,84,U.S. President Donald Trump landed in London on Monday for a NATO summit. Queen Elizabeth will host the NATO leaders at Buckingham Palace on Tuesday.
Non-biased,,Entirely factual,84,U.S. President Donald Trump landed in London on Monday for a NATO summit. Queen Elizabeth will host the NATO leaders at Buckingham Palace on Tuesday.
Non-biased,summit,Entirely factual,84,U.S. President Donald Trump landed in London on Monday for a NATO summit. Queen Elizabeth will host the NATO leaders at Buckingham Palace on Tuesday.
Non-biased,,Entirely factual,84,U.S. President Donald Trump landed in London on Monday for a NATO summit. Queen Elizabeth will host the NATO leaders at Buckingham Palace on Tuesday.
Non-biased,,Entirely factual,84,U.S. President Donald Trump landed in London on Monday for a NATO summit. Queen Elizabeth will host the NATO leaders at Buckingham Palace on Tuesday.
Biased,threatening,,,
Biased,predictable,,,
Biased,threatening,Somewhat factual but also opinionated,26,This group is small but vocal
Biased,threatening ,Expresses writer’s opinion,26,This group is small but vocal
Biased,threatening,Expresses writer’s opinion,26,This group is small but vocal
Non-biased,threatening,Entirely factual,26,This group is small but vocal
Biased,predictable,,,
Biased,threatening ,Somewhat factual but also opinionated,26,This group is small but vocal
Biased,threatening,Somewhat factual but also opinionated,26,This group is small but vocal
Biased,threatening,,,
Non-biased,,Expresses writer’s opinion,12,Powell and others in the George W. Bush administration lied extensively while making the case for war in Iraq in the early 2000s
Biased,lied,,,
Biased,lied,Somewhat factual but also opinionated,12,Powell and others in the George W. Bush administration lied extensively while making the case for war in Iraq in the early 2000s
Biased,lied,,,
Biased,lied,,,
Biased,lied,,,
Biased,fabricating,,,
Biased,lied extensively,,,
Non-biased,,Entirely factual,12,Powell and others in the George W. Bush administration lied extensively while making the case for war in Iraq in the early 2000s
Biased,lied extensively,,,
Non-biased,,Entirely factual,57,Five of eight gun control bills endorsed by Democratic Gov. Ralph Northam have been approved in both houses of the General Assembly and will head to Northam for signature. 
Biased,endorsed,,,
Non-biased,,Entirely factual,57,Five of eight gun control bills endorsed by Democratic Gov. Ralph Northam have been approved in both houses of the General Assembly and will head to Northam for signature. 
Non-biased,endorsed,Entirely factual,57,Five of eight gun control bills endorsed by Democratic Gov. Ralph Northam have been approved in both houses of the General Assembly and will head to Northam for signature. 
Biased,gun control bills ,Expresses writer’s opinion,57,Five of eight gun control bills endorsed by Democratic Gov. Ralph Northam have been approved in both houses of the General Assembly and will head to Northam for signature. 
Non-biased,,Entirely factual,57,Five of eight gun control bills endorsed by Democratic Gov. Ralph Northam have been approved in both houses of the General Assembly and will head to Northam for signature. 
Non-biased,,Entirely factual,57,Five of eight gun control bills endorsed by Democratic Gov. Ralph Northam have been approved in both houses of the General Assembly and will head to Northam for signature. 
Non-biased,,Entirely factual,57,Five of eight gun control bills endorsed by Democratic Gov. Ralph Northam have been approved in both houses of the General Assembly and will head to Northam for signature. 
Non-biased,,Entirely factual,57,Five of eight gun control bills endorsed by Democratic Gov. Ralph Northam have been approved in both houses of the General Assembly and will head to Northam for signature. 
Biased,approved,,,
Biased,substantive,,,
Non-biased,backlash against his criticism,Somewhat factual but also opinionated,82,Never mind the fact that some of Trump’s strongest supporters have had no problem whatsoever in criticizing him for substantive reasons — as in the backlash against his criticism of Attorney General Jeff Sessions. NeverTrumpers still believe themselves to be the unique guardians of conservative orthodoxy and honest punditry.
Biased,orthodoxy and honest punditry.,Somewhat factual but also opinionated,82,Never mind the fact that some of Trump’s strongest supporters have had no problem whatsoever in criticizing him for substantive reasons — as in the backlash against his criticism of Attorney General Jeff Sessions. NeverTrumpers still believe themselves to be the unique guardians of conservative orthodoxy and honest punditry.
Non-biased,,Somewhat factual but also opinionated,82,Never mind the fact that some of Trump’s strongest supporters have had no problem whatsoever in criticizing him for substantive reasons — as in the backlash against his criticism of Attorney General Jeff Sessions. NeverTrumpers still believe themselves to be the unique guardians of conservative orthodoxy and honest punditry.
Non-biased,unique guardians,Expresses writer’s opinion,82,Never mind the fact that some of Trump’s strongest supporters have had no problem whatsoever in criticizing him for substantive reasons — as in the backlash against his criticism of Attorney General Jeff Sessions. NeverTrumpers still believe themselves to be the unique guardians of conservative orthodoxy and honest punditry.
Biased,substantive reasons,,,
Biased,Trump’s strongest supporters,,,
Biased,criticizing,,,
Biased,substantive,,,
Biased,unique guardians,,,
Biased,do-nothing,Somewhat factual but also opinionated,58,But even if there was a president in the Oval Office who took the issue seriously
Biased,do-nothing,Expresses writer’s opinion,58,But even if there was a president in the Oval Office who took the issue seriously
Biased,do-nothing,,,
Biased,do-nothing,Expresses writer’s opinion,58,But even if there was a president in the Oval Office who took the issue seriously
Non-biased,do-nothing Senate,Expresses writer’s opinion,58,But even if there was a president in the Oval Office who took the issue seriously
Non-biased,,Expresses writer’s opinion,58,But even if there was a president in the Oval Office who took the issue seriously
Biased,do-nothing Senate,,,
Biased,nothing,,,
Biased,do-nothing,Expresses writer’s opinion,58,But even if there was a president in the Oval Office who took the issue seriously
Biased,do-nothing ,Expresses writer’s opinion,58,But even if there was a president in the Oval Office who took the issue seriously
Non-biased,,Somewhat factual but also opinionated,58,But even if there was a president in the Oval Office who took the issue seriously
Non-biased,,Entirely factual,39,Federal judges on Monday blocked officials in Texas
Non-biased,blocked,,,
Biased,curbing,,,
Non-biased,,Entirely factual,39,Federal judges on Monday blocked officials in Texas
Biased,deemed not medically necessary,Somewhat factual but also opinionated,39,Federal judges on Monday blocked officials in Texas
Biased,curbing,Somewhat factual but also opinionated,39,Federal judges on Monday blocked officials in Texas
Non-biased,,Entirely factual,39,Federal judges on Monday blocked officials in Texas
Biased,abortions,,,
Non-biased,,Entirely factual,39,Federal judges on Monday blocked officials in Texas
Non-biased,,Entirely factual,39,Federal judges on Monday blocked officials in Texas
Non-biased,,Entirely factual,39,Federal judges on Monday blocked officials in Texas
Biased,drag ,Somewhat factual but also opinionated,22,For some years now
Biased,drag the regulations,Somewhat factual but also opinionated,22,For some years now
Biased,voucher systems,,,
Non-biased,,Entirely factual,22,For some years now
Biased,which are less likely,Expresses writer’s opinion,22,For some years now
Biased,voucher,,,
Biased,in favor,Entirely factual,22,For some years now
Biased,warned,,,
Non-biased,warned,,,
Biased, less likely,Somewhat factual but also opinionated,22,For some years now
Biased,pressure,Expresses writer’s opinion,57,Two years after filling the streets of U.S. cities to protest the start of Donald Trump’s presidency
Biased,protest,,,
Non-biased,,Entirely factual,57,Two years after filling the streets of U.S. cities to protest the start of Donald Trump’s presidency
Non-biased,build political pressure,Entirely factual,57,Two years after filling the streets of U.S. cities to protest the start of Donald Trump’s presidency
Biased, women will march again,Somewhat factual but also opinionated,57,Two years after filling the streets of U.S. cities to protest the start of Donald Trump’s presidency
Non-biased,,Entirely factual,57,Two years after filling the streets of U.S. cities to protest the start of Donald Trump’s presidency
Non-biased,filling,Entirely factual,57,Two years after filling the streets of U.S. cities to protest the start of Donald Trump’s presidency
Non-biased,filling the streets,Somewhat factual but also opinionated,57,Two years after filling the streets of U.S. cities to protest the start of Donald Trump’s presidency
Non-biased,,Entirely factual,57,Two years after filling the streets of U.S. cities to protest the start of Donald Trump’s presidency
Biased,start,,,
Non-biased,,Somewhat factual but also opinionated,2,French sporting goods retailer Decathlon has confirmed they will not be stocking a sports hijab after public backlash and threats of a mass boycott.
Non-biased,,Entirely factual,2,French sporting goods retailer Decathlon has confirmed they will not be stocking a sports hijab after public backlash and threats of a mass boycott.
Non-biased,,Entirely factual,2,French sporting goods retailer Decathlon has confirmed they will not be stocking a sports hijab after public backlash and threats of a mass boycott.
Biased,boycott,Entirely factual,2,French sporting goods retailer Decathlon has confirmed they will not be stocking a sports hijab after public backlash and threats of a mass boycott.
Biased,sports hijab,Somewhat factual but also opinionated,2,French sporting goods retailer Decathlon has confirmed they will not be stocking a sports hijab after public backlash and threats of a mass boycott.
Non-biased,,Entirely factual,2,French sporting goods retailer Decathlon has confirmed they will not be stocking a sports hijab after public backlash and threats of a mass boycott.
Non-biased,backlash,,,
Biased, backlash,Entirely factual,2,French sporting goods retailer Decathlon has confirmed they will not be stocking a sports hijab after public backlash and threats of a mass boycott.
Non-biased,,Entirely factual,2,French sporting goods retailer Decathlon has confirmed they will not be stocking a sports hijab after public backlash and threats of a mass boycott.
Non-biased,,Entirely factual,2,French sporting goods retailer Decathlon has confirmed they will not be stocking a sports hijab after public backlash and threats of a mass boycott.
Non-biased,backlash,,,
Biased,public backlash,Somewhat factual but also opinionated,2,French sporting goods retailer Decathlon has confirmed they will not be stocking a sports hijab after public backlash and threats of a mass boycott.
Biased,ripped,,,
Biased,ripped former Vice President,Somewhat factual but also opinionated,22,President Donald Trump in an interview on Wednesday ripped former Vice President Joe Biden for failing on race relations
Biased,ripped,,,
Biased,ripped,,,
Non-biased,,Entirely factual,22,President Donald Trump in an interview on Wednesday ripped former Vice President Joe Biden for failing on race relations
Biased,ripped,,,
Biased,ripped,,,
Biased,ripped,Expresses writer’s opinion,22,President Donald Trump in an interview on Wednesday ripped former Vice President Joe Biden for failing on race relations
Biased,failing,,,
Biased, failing on race relations,Expresses writer’s opinion,22,President Donald Trump in an interview on Wednesday ripped former Vice President Joe Biden for failing on race relations
Biased,undoubtedly ,Entirely factual,40,The debt load for those who pursue law or medical school will undoubtedly be higher
Non-biased,,Somewhat factual but also opinionated,40,The debt load for those who pursue law or medical school will undoubtedly be higher
Non-biased,,Entirely factual,40,The debt load for those who pursue law or medical school will undoubtedly be higher
Non-biased,,Somewhat factual but also opinionated,40,The debt load for those who pursue law or medical school will undoubtedly be higher
Non-biased,undoubtedly,,,
Non-biased,undoubtedly ,Entirely factual,40,The debt load for those who pursue law or medical school will undoubtedly be higher
Non-biased,load,Somewhat factual but also opinionated,40,The debt load for those who pursue law or medical school will undoubtedly be higher
Biased,debt load,,,
Non-biased,,Entirely factual,40,The debt load for those who pursue law or medical school will undoubtedly be higher
Non-biased,,Entirely factual,40,The debt load for those who pursue law or medical school will undoubtedly be higher
Biased,government takeover ,Expresses writer’s opinion,24,Since the Democrat Congress and the Obama administration orchestrated the government takeover of student loans in 2010 the total amount of student loan debt has exploded.
Biased,orchestrated,,,
Non-biased,administration,Somewhat factual but also opinionated,24,Since the Democrat Congress and the Obama administration orchestrated the government takeover of student loans in 2010 the total amount of student loan debt has exploded.
Biased,takeover of student loans,Entirely factual,24,Since the Democrat Congress and the Obama administration orchestrated the government takeover of student loans in 2010 the total amount of student loan debt has exploded.
Biased,Democrat,Expresses writer’s opinion,24,Since the Democrat Congress and the Obama administration orchestrated the government takeover of student loans in 2010 the total amount of student loan debt has exploded.
Non-biased,,Entirely factual,24,Since the Democrat Congress and the Obama administration orchestrated the government takeover of student loans in 2010 the total amount of student loan debt has exploded.
Biased,student loan debt has exploded,Expresses writer’s opinion,24,Since the Democrat Congress and the Obama administration orchestrated the government takeover of student loans in 2010 the total amount of student loan debt has exploded.
Non-biased,,Entirely factual,24,Since the Democrat Congress and the Obama administration orchestrated the government takeover of student loans in 2010 the total amount of student loan debt has exploded.
Biased,orchestrated,,,
Non-biased,,Entirely factual,24,Since the Democrat Congress and the Obama administration orchestrated the government takeover of student loans in 2010 the total amount of student loan debt has exploded.
Biased,shenanigans,Expresses writer’s opinion,84,The Citibank and Bank of America examples are just the tip of the iceberg
Biased,shenanigans,Expresses writer’s opinion,84,The Citibank and Bank of America examples are just the tip of the iceberg
Biased,Citibank,,,
Biased,shenanigans,Expresses writer’s opinion,84,The Citibank and Bank of America examples are just the tip of the iceberg
Biased,shenanigans,Expresses writer’s opinion,84,The Citibank and Bank of America examples are just the tip of the iceberg
Biased,shenanigans,Expresses writer’s opinion,84,The Citibank and Bank of America examples are just the tip of the iceberg
Biased,the tip of the iceberg,,,
Biased,shenanigans,,,
Biased,tip of the iceberg,,,
Biased,shenanigans,Expresses writer’s opinion,84,The Citibank and Bank of America examples are just the tip of the iceberg
Biased,shenanigans ,Expresses writer’s opinion,84,The Citibank and Bank of America examples are just the tip of the iceberg
Biased,tip of the iceberg,,,
Biased,persuade,,,
Biased,extreme ,Somewhat factual but also opinionated,54,This account of Trump’s decision-making
Non-biased,most extreme measures,Somewhat factual but also opinionated,54,This account of Trump’s decision-making
Non-biased,,Entirely factual,54,This account of Trump’s decision-making
Biased,pushing for the fastest,,,
Biased,persuade,Expresses writer’s opinion,54,This account of Trump’s decision-making
Non-biased,measure,Expresses writer’s opinion,54,This account of Trump’s decision-making
Biased,fastest,,,
Non-biased,extreme,,,
Biased,extreme,Somewhat factual but also opinionated,54,This account of Trump’s decision-making
Biased,self-dealing,,,
Biased,rife,,,
Biased, rife with monumental,,,
Non-biased,,Somewhat factual but also opinionated,54,A new report reveals that the 2017 GOP tax law was rife with monumental self-dealing by rich GOP lawmakers who have since benefited bigly.
Biased,self-dealing by rich GOP,,,
Biased,monumental,Entirely factual,54,A new report reveals that the 2017 GOP tax law was rife with monumental self-dealing by rich GOP lawmakers who have since benefited bigly.
Non-biased,law,,,
Biased,rife,,,
Biased,rife,,,
Biased,bigly,,,
Biased,dismay,,,
Biased,dismay,,,
Biased,others ,Expresses writer’s opinion,62,It's not just governments and international organizations that have lined up to express dismay at Trump's move. Experts
Biased,dismay,,,
Non-biased,express dismay ,Expresses writer’s opinion,62,It's not just governments and international organizations that have lined up to express dismay at Trump's move. Experts
Biased,dismay,,,
Non-biased,,Somewhat factual but also opinionated,62,It's not just governments and international organizations that have lined up to express dismay at Trump's move. Experts
Non-biased,,Entirely factual,62,It's not just governments and international organizations that have lined up to express dismay at Trump's move. Experts
Biased,express dismay,,,
Non-biased,condemn ,Entirely factual,62,It's not just governments and international organizations that have lined up to express dismay at Trump's move. Experts
Non-biased,dismay,Entirely factual,62,It's not just governments and international organizations that have lined up to express dismay at Trump's move. Experts
Non-biased,,Entirely factual,34,A sharp drop in temperatures and wind speed
Non-biased,,Entirely factual,34,A sharp drop in temperatures and wind speed
Biased,boosted ,Expresses writer’s opinion,34,A sharp drop in temperatures and wind speed
Non-biased,sharp ,Entirely factual,34,A sharp drop in temperatures and wind speed
Non-biased,sharp drop,Entirely factual,34,A sharp drop in temperatures and wind speed
Biased,boosted ,Somewhat factual but also opinionated,34,A sharp drop in temperatures and wind speed
Non-biased,,Entirely factual,34,A sharp drop in temperatures and wind speed
Non-biased,,Entirely factual,34,A sharp drop in temperatures and wind speed
Non-biased,,Entirely factual,34,A sharp drop in temperatures and wind speed
Non-biased,sharp drop,Entirely factual,34,A sharp drop in temperatures and wind speed
Non-biased,,Entirely factual,12,But pockets of vaccine skeptics have helped cause outbreaks of measles and whooping cough. 
Non-biased,,Entirely factual,12,But pockets of vaccine skeptics have helped cause outbreaks of measles and whooping cough. 
Biased,cause ,Somewhat factual but also opinionated,12,But pockets of vaccine skeptics have helped cause outbreaks of measles and whooping cough. 
Biased,vaccine skeptics,Expresses writer’s opinion,12,But pockets of vaccine skeptics have helped cause outbreaks of measles and whooping cough. 
Non-biased,,Entirely factual,12,But pockets of vaccine skeptics have helped cause outbreaks of measles and whooping cough. 
Biased,helped ,Somewhat factual but also opinionated,12,But pockets of vaccine skeptics have helped cause outbreaks of measles and whooping cough. 
Non-biased,,Entirely factual,12,But pockets of vaccine skeptics have helped cause outbreaks of measles and whooping cough. 
Biased,skeptics,Somewhat factual but also opinionated,12,But pockets of vaccine skeptics have helped cause outbreaks of measles and whooping cough. 
Biased,helped,Somewhat factual but also opinionated,12,But pockets of vaccine skeptics have helped cause outbreaks of measles and whooping cough. 
Non-biased,skeptics,Entirely factual,12,But pockets of vaccine skeptics have helped cause outbreaks of measles and whooping cough. 
Non-biased,,Entirely factual,35,Friday
Non-biased,,Entirely factual,35,Friday
Non-biased,,Entirely factual,35,Friday
Non-biased,,Entirely factual,35,Friday
Non-biased, urging,,,
Non-biased,,Entirely factual,35,Friday
Non-biased,,Entirely factual,35,Friday
Non-biased,should be blocked,Entirely factual,35,Friday
Non-biased,,Entirely factual,35,Friday
Non-biased,,Entirely factual,35,Friday
Non-biased,,Entirely factual,35,Friday
Non-biased,,Entirely factual,11,Gov. Greg Abbott dug his heels in Tuesday in a TV interview explaining why Texas will be the only state in the nation to reject refugees seeking resettlement
Non-biased,,Entirely factual,11,Gov. Greg Abbott dug his heels in Tuesday in a TV interview explaining why Texas will be the only state in the nation to reject refugees seeking resettlement
Non-biased,,Entirely factual,11,Gov. Greg Abbott dug his heels in Tuesday in a TV interview explaining why Texas will be the only state in the nation to reject refugees seeking resettlement
Biased,reject ,Somewhat factual but also opinionated,11,Gov. Greg Abbott dug his heels in Tuesday in a TV interview explaining why Texas will be the only state in the nation to reject refugees seeking resettlement
Non-biased,resettlement,,,
Non-biased,,Entirely factual,11,Gov. Greg Abbott dug his heels in Tuesday in a TV interview explaining why Texas will be the only state in the nation to reject refugees seeking resettlement
Biased,seeking,,,
Non-biased,prioritize,Entirely factual,11,Gov. Greg Abbott dug his heels in Tuesday in a TV interview explaining why Texas will be the only state in the nation to reject refugees seeking resettlement
Biased,dug his heels in,Somewhat factual but also opinionated,11,Gov. Greg Abbott dug his heels in Tuesday in a TV interview explaining why Texas will be the only state in the nation to reject refugees seeking resettlement
Non-biased,,Entirely factual,11,Gov. Greg Abbott dug his heels in Tuesday in a TV interview explaining why Texas will be the only state in the nation to reject refugees seeking resettlement
Biased,only state,,,
Non-biased,,Somewhat factual but also opinionated,11,The National Women’s Hockey League is moving swiftly to expand to Toronto and Montreal after the demise of its Canadian-based rival.
Non-biased,,Entirely factual,11,The National Women’s Hockey League is moving swiftly to expand to Toronto and Montreal after the demise of its Canadian-based rival.
Non-biased,,Entirely factual,11,The National Women’s Hockey League is moving swiftly to expand to Toronto and Montreal after the demise of its Canadian-based rival.
Non-biased,,Entirely factual,11,The National Women’s Hockey League is moving swiftly to expand to Toronto and Montreal after the demise of its Canadian-based rival.
Non-biased,,Entirely factual,11,The National Women’s Hockey League is moving swiftly to expand to Toronto and Montreal after the demise of its Canadian-based rival.
Non-biased,,Entirely factual,11,The National Women’s Hockey League is moving swiftly to expand to Toronto and Montreal after the demise of its Canadian-based rival.
Non-biased,demise ,Entirely factual,11,The National Women’s Hockey League is moving swiftly to expand to Toronto and Montreal after the demise of its Canadian-based rival.
Non-biased,swiftly,Entirely factual,11,The National Women’s Hockey League is moving swiftly to expand to Toronto and Montreal after the demise of its Canadian-based rival.
Non-biased,,Entirely factual,11,The National Women’s Hockey League is moving swiftly to expand to Toronto and Montreal after the demise of its Canadian-based rival.
Non-biased,,Entirely factual,11,The National Women’s Hockey League is moving swiftly to expand to Toronto and Montreal after the demise of its Canadian-based rival.
Non-biased,,Entirely factual,11,The National Women’s Hockey League is moving swiftly to expand to Toronto and Montreal after the demise of its Canadian-based rival.
Non-biased,,Entirely factual,26,But opponents argued that asking minors to negotiate the legal system when they are already scared and ashamed could drive them to illegal abortions.
Biased,scared,,,
Biased,scared,,,
Non-biased,,Entirely factual,26,But opponents argued that asking minors to negotiate the legal system when they are already scared and ashamed could drive them to illegal abortions.
Biased,scared,,,
Non-biased,scared,,,
Biased,scared,,,
Biased,scared and ashamed,,,
Biased,illegal abortions,Somewhat factual but also opinionated,26,But opponents argued that asking minors to negotiate the legal system when they are already scared and ashamed could drive them to illegal abortions.
Non-biased,,Somewhat factual but also opinionated,26,But opponents argued that asking minors to negotiate the legal system when they are already scared and ashamed could drive them to illegal abortions.
Biased,dramatically,,,
Biased,dramatically,,,
Non-biased,,Somewhat factual but also opinionated,83,Shortly after he took office on Monday
Biased,illegal immigrants,,,
Non-biased,unearthed,,,
Biased, unprecedented,,,
Biased,unearthed,,,
Biased,unprecedented,,,
Biased,illegal immigrants,,,
Biased,dramatically,,,
Biased,overwhelming,,,
Biased,sexist,Expresses writer’s opinion,78,While Americans still cling to sexist gender roles at home
Biased,While,,,
Biased,sexist,Somewhat factual but also opinionated,78,While Americans still cling to sexist gender roles at home
Biased,sexist,Expresses writer’s opinion,78,While Americans still cling to sexist gender roles at home
Biased,cling,,,
Biased,sexist,,,
Biased,cling,,,
Biased,sexist gender roles at home,Somewhat factual but also opinionated,78,While Americans still cling to sexist gender roles at home
Biased,cling,,,
Biased,sexist ,Somewhat factual but also opinionated,78,While Americans still cling to sexist gender roles at home
Non-biased,,Somewhat factual but also opinionated,78,While Americans still cling to sexist gender roles at home
Biased,gun control laws,,,
Non-biased,,Entirely factual,71,A previous boom that saw gun sales double over a decade through 2016 corresponded largely with Democratic President Barack Obama’s time in office
Non-biased,fears,Entirely factual,71,A previous boom that saw gun sales double over a decade through 2016 corresponded largely with Democratic President Barack Obama’s time in office
Non-biased,boom,,,
Biased,aficionados,Somewhat factual but also opinionated,71,A previous boom that saw gun sales double over a decade through 2016 corresponded largely with Democratic President Barack Obama’s time in office
Biased,fears ,Expresses writer’s opinion,71,A previous boom that saw gun sales double over a decade through 2016 corresponded largely with Democratic President Barack Obama’s time in office
Biased,drove,,,
Biased,aficionados ,Somewhat factual but also opinionated,71,A previous boom that saw gun sales double over a decade through 2016 corresponded largely with Democratic President Barack Obama’s time in office
Non-biased,,Entirely factual,71,A previous boom that saw gun sales double over a decade through 2016 corresponded largely with Democratic President Barack Obama’s time in office
Biased,gun aficionados,Somewhat factual but also opinionated,71,A previous boom that saw gun sales double over a decade through 2016 corresponded largely with Democratic President Barack Obama’s time in office
Biased,nationalized ,Expresses writer’s opinion,37,Democrats effectively nationalized the student loan industry in 2010 by transferring eight million loans into the federal government’s hands.
Biased,eight million loans,,,
Non-biased,,Somewhat factual but also opinionated,37,Democrats effectively nationalized the student loan industry in 2010 by transferring eight million loans into the federal government’s hands.
Biased,nationalized,,,
Non-biased,,Entirely factual,37,Democrats effectively nationalized the student loan industry in 2010 by transferring eight million loans into the federal government’s hands.
Non-biased,,Entirely factual,37,Democrats effectively nationalized the student loan industry in 2010 by transferring eight million loans into the federal government’s hands.
Non-biased,nationalized ,Entirely factual,37,Democrats effectively nationalized the student loan industry in 2010 by transferring eight million loans into the federal government’s hands.
Biased,Democrats,,,
Non-biased,nationalized,Entirely factual,37,Democrats effectively nationalized the student loan industry in 2010 by transferring eight million loans into the federal government’s hands.
Biased,nationalized,Somewhat factual but also opinionated,37,Democrats effectively nationalized the student loan industry in 2010 by transferring eight million loans into the federal government’s hands.
Non-biased,,Entirely factual,59,Despite Democrats regularly characterizing America as socially pathologized with anti-woman “sexism” and “misogyny” — where women face greater cultural
Biased,socially pathologized,Expresses writer’s opinion,59,Despite Democrats regularly characterizing America as socially pathologized with anti-woman “sexism” and “misogyny” — where women face greater cultural
Biased,anti-woman,,,
Biased,pathologized,,,
Biased,socially,,,
Biased,comparison,,,
Biased,“sexism”,,,
Non-biased,,Entirely factual,59,Despite Democrats regularly characterizing America as socially pathologized with anti-woman “sexism” and “misogyny” — where women face greater cultural
Biased,anti-woman,Somewhat factual but also opinionated,59,Despite Democrats regularly characterizing America as socially pathologized with anti-woman “sexism” and “misogyny” — where women face greater cultural
Biased,sexism,,,
Biased,migration,Expresses writer’s opinion,27,Home Secretary Priti Patel said that in response to the surge of illegal migrants
Biased,deportation,,,
Biased,illegal,,,
Biased,illegal migration,,,
Biased,surge ,Somewhat factual but also opinionated,27,Home Secretary Priti Patel said that in response to the surge of illegal migrants
Non-biased,,Somewhat factual but also opinionated,27,Home Secretary Priti Patel said that in response to the surge of illegal migrants
Biased,surge,,,
Biased,surge,,,
Non-biased,modelled,,,
Biased,uncompromising,Somewhat factual but also opinionated,27,Home Secretary Priti Patel said that in response to the surge of illegal migrants
Non-biased,,Entirely factual,27,Home Secretary Priti Patel said that in response to the surge of illegal migrants
Biased,slammed,Somewhat factual but also opinionated,53,The National Republican Senatorial Committee slammed Senate Democrats for blocking the legislation.
Biased,slammed,Somewhat factual but also opinionated,53,The National Republican Senatorial Committee slammed Senate Democrats for blocking the legislation.
Non-biased,slammed,Somewhat factual but also opinionated,53,The National Republican Senatorial Committee slammed Senate Democrats for blocking the legislation.
Non-biased,,Somewhat factual but also opinionated,53,The National Republican Senatorial Committee slammed Senate Democrats for blocking the legislation.
Non-biased,,Entirely factual,53,The National Republican Senatorial Committee slammed Senate Democrats for blocking the legislation.
Non-biased,,Entirely factual,53,The National Republican Senatorial Committee slammed Senate Democrats for blocking the legislation.
Biased,slammed ,Somewhat factual but also opinionated,53,The National Republican Senatorial Committee slammed Senate Democrats for blocking the legislation.
Biased,slammed,Somewhat factual but also opinionated,53,The National Republican Senatorial Committee slammed Senate Democrats for blocking the legislation.
Biased,slammed,,,
Biased,slammed ,Expresses writer’s opinion,53,The National Republican Senatorial Committee slammed Senate Democrats for blocking the legislation.
Biased,slammed,Somewhat factual but also opinionated,53,The National Republican Senatorial Committee slammed Senate Democrats for blocking the legislation.
Biased,slammed Senate Democrats,Somewhat factual but also opinionated,53,The National Republican Senatorial Committee slammed Senate Democrats for blocking the legislation.
Non-biased,barren,,,
Biased,barren,,,
Non-biased,,Entirely factual,83,As if barren grocery store shelves and daily chaos amid the spread of coronavirus were not enough
Non-biased,,Entirely factual,83,As if barren grocery store shelves and daily chaos amid the spread of coronavirus were not enough
Non-biased,chaos,,,
Biased,chaos,,,
Non-biased,,Entirely factual,83,As if barren grocery store shelves and daily chaos amid the spread of coronavirus were not enough
Biased,coronavirus,,,
Biased,barren grocery store shelves ,Expresses writer’s opinion,83,As if barren grocery store shelves and daily chaos amid the spread of coronavirus were not enough
Biased,barren,,,
Non-biased,,Expresses writer’s opinion,67,The House Democrats’ 1
Non-biased,,Entirely factual,67,The House Democrats’ 1
Biased,threatens,Somewhat factual but also opinionated,67,The House Democrats’ 1
Biased,foreign college graduate c,,,
Biased,threatens ,Expresses writer’s opinion,67,The House Democrats’ 1
Non-biased,,Entirely factual,67,The House Democrats’ 1
Biased, threatens,Expresses writer’s opinion,67,The House Democrats’ 1
Biased,threatens,Somewhat factual but also opinionated,67,The House Democrats’ 1
Biased,threatens,Expresses writer’s opinion,67,The House Democrats’ 1
Biased,recovery ,Expresses writer’s opinion,67,The House Democrats’ 1
Biased,threatens,Somewhat factual but also opinionated,67,The House Democrats’ 1
Non-biased,,Entirely factual,69,That damage was in evidence in a report from the U.S. Labor Department
Non-biased,damage,Entirely factual,69,That damage was in evidence in a report from the U.S. Labor Department
Biased,That damage,Somewhat factual but also opinionated,69,That damage was in evidence in a report from the U.S. Labor Department
